#one-scaled MTG generated by module "trees"								
CODE:	FORM-A							
								
CLASSES:								
SYMBOL	SCALE	DECOMPOSITION	INDEXATION	DEFINITION				
$	0	FREE      	FREE      	IMPLICIT				
N	1	CONNECTED 	FREE      	IMPLICIT				
V	2	NONE      	FREE      	EXPLICIT				
								
DESCRIPTION:								
LEFT	RIGHT	RELTYPE	MAX					
V	V	+	?					
V	V	<	?					
								
FEATURES:								
NAME	TYPE							
								
Length	INT							
HalfNbCat	INT							
HalfNbLeaves	INT							
IN	INT							
								
MTG:								
ENTITY-CODE					Length	HalfNbCat	HalfNbLeaves	IN
/N0								
		^<V11			47	2	1	3
		+V12			11	1	0	1
		^<V13			53	2	1	3
		^<V14			37	2	1	3
		^<V15			46	2	1	3
		^<V16			29	2	1	3
		^<V17			103	3	2	5
		^<V18			59	2	2	4
		^<V19			85	3	2	5
		^<V20			29	2	1	3
		^<V21			33	3	1	4
	^<V22				58	3	1	4
	^<V23				104	3	2	5
	^<V24				57	3	1	4
/N5								
	/V0				213	8	2	10
	^<V1				13	4	2	5
	^<V2				10	2	1	3
	^<V3				23	2	2	4
	^<V4				17	3	1	4
	^<V5				54	3	2	5
	^<V6				70	2	2	4
	^<V7				127	3	3	6
		+V8			69	1	1	2
		^<V9			28	2	1	3
		^<V10			52	2	1	3
		^<V11			21	3	1	3
		^<V12			31	2	1	2
		+V13			66	1	1	2
		^<V14			44	3	1	4
		^<V15			31	4	1	4
		^<V16			44	2	1	3
		^<V17			59	2	1	3
		^<V18			53	3	1	4
		^<V19			39	4	1	5
	^<V20				39	3	1	4
	^<V21				113	3	2	5
	^<V22				113	4	0	4
	^<V23				49	2	2	4
		+V24			32	1	0	1
		^<V25			82	3	1	4
		^<V26			60	2	1	3
		^<V27			10	4	0	4
		^<V28			40	2	1	3
		+V29			30	1	0	1
		^<V30			92	3	1	4
		^<V31			58	2	1	3
		^<V32			62	2	1	3
		^<V33			54	3	1	4
	^<V34				157	3	2	5
	^<V35				110	3	2	5
		+V36			57	1	0	1
		^<V37			83	2	1	3
		^<V38			34	4	1	5
		+V39			46	1	0	1
		^<V40			81	3	1	4
		^<V41			41	6	1	7
/N6								
	/V0				288	10	2	12
	^<V1				9	2	1	3
	^<V2				9	2	1	3
	^<V3				11	3	1	4
	^<V4				66	4	2	5
	^<V5				93	2	2	4
	^<V6				175	4	3	6
	^<V7				131	4	3	6
		+V8			64	1	1	2
		^<V9			46	2	1	3
		^<V10			61	2	1	3
		^<V11			64	2	1	3
		^<V12			22	2	1	3
		+V13			26	1	0	1
		^<V14			60	2	1	3
		^<V15			52	2	1	3
		^<V16			129	3	2	5
		^<V17			83	2	2	4
	^<V18				19	4	0	4
	^<V19				50	3	2	4
	^<V20				198	3	3	6
		+V21			113	1	1	2
		^<V22			123	2	2	4
	^<V23				177	4	3	6
		+V24			65	1	1	2
		^<V25			130	4	2	6
		^<V26			150	4	2	6
			+V27		19	1	0	1
			+V28		17	1	0	1
/N7								
	/V0				206	12	2	13
	^<V1				45	2	2	4
	^<V2				27	2	2	4
	^<V3				35	2	1	3
	^<V4				66	3	3	6
		+V5			30	1	1	2
		^<V6			64	1	2	3
		^<V7			105	2	2	4
		^<V8			125	2	2	4
		^<V9			122	3	2	5
		^<V10			73	3	2	5
		^<V11			40	3	1	4
		+V12			25	1	1	2
		^<V13			64	1	2	3
		^<V14			99	2	2	4
		^<V15			116	2	2	4
		^<V16			98	2	2	4
		^<V17			115	3	3	6
			+V18		15	1	0	1
			^<V19		52	2	1	3
			^<V20		56	3	1	4
			^<V21		53	2	1	3
			^<V22		58	3	1	4
			+V23		17	1	0	1
			^<V24		64	2	1	3
			^<V25		56	3	1	4
		^<V26			87	2	2	4
		^<V27			105	3	2	5
		^<V28			115	3	2	5
		^<V29			98	3	2	5
	^<V30				37	3	0	3
	^<V31				104	3	2	5
	^<V32				149	2	3	5
		+V33			32	1	0	1
		^<V34			88	3	1	4
		^<V35			110	4	3	6
		^<V36			94	2	2	4
		^<V37			40	4	1	4
		^<V38			47	1	1	2
		^<V39			56	3	2	5
		^<V40			95	3	2	5
		+V41			34	1	0	1
		^<V42			91	3	1	4
		^<V43			150	3	3	6
		^<V44			64	3	1	4
	^<V45				111	3	2	5
	^<V46				127	3	3	6
		+V47			52	1	1	2
		^<V48			130	2	3	5
		^<V49			114	4	2	6
		^<V50			147	3	2	5
			+V51		25	1	0	1
			^<V52		73	2	1	3
			+V53		21	1	0	1
			^<V54		75	2	1	3
		^<V55			147	3	2	5
		+V56			39	1	0	1
		^<V57			86	3	1	4
		^<V58			158	3	2	5
		^<V59			141	3	2	5
			+V60		18	1	0	1
			+V61		22	1	0	1
			^<V62		48	4	1	4
		^<V63			132	3	2	5
	^<V64				161	3	2	5
	^<V65				92	3	2	5
		+V66			44	1	0	1
		^<V67			167	3	2	5
		^<V68			144	3	2	5
			+V69		28	1	0	1
			^<V70		42	4	1	4
		^<V71			130	3	2	5
		+V72			45	1	0	1
		^<V73			172	3	2	5
		^<V74			142	3	2	5
			+V75		32	1	0	1
			^<V76		111	5	1	6
			^<V77		95	2	2	4
			+V78		33	1	0	1
			^<V79		110	5	1	6
			^<V80		68	3	1	4
		^<V81			210	5	3	8
		^<V82			196	2	3	5
			+V83		37	1	0	1
			+V84		37	1	0	1
	^<V85				319	6	3	9
	^<V86				315	4	4	8
		+V87			150	1	1	2
		^<V88			160	6	3	9
			+V89		44	1	0	1
			^<V90		90	4	0	4
			^<V91		61	3	1	4
			+V92		50	1	0	1
			^<V93		15	5	0	5
		^<V94			18	4	0	4
		^<V95			132	4	2	6
			+V96		20	1	0	1
		+V97			139	1	1	2
		^<V98			164	4	3	7
			+V99		60	1	0	1
			^<V100		84	3	1	4
			+V101		40	1	0	1
			^<V102		72	4	1	5
		^<V103			22	4	0	4
		^<V104			86	3	1	4
		^<V105			66	3	3	6
		+V106			83	1	0	1
		^<V107			120	5	2	7
		^<V108			81	3	1	4
			+V109		102	1	1	2
		^<V110			150	4	2	6
	^<V111				74	7	3	9
	^<V112				155	8	2	10
		+V113			62	1	0	1
/N8								
	/V0				293	8	2	10
	^<V1				65	2	3	5
	^<V2				8	2	1	3
	^<V3				16	2	1	3
	^<V4				31	2	2	4
	^<V5				67	2	2	4
		+V6			19	1	0	1
		^<V7			121	3	3	5
		^<V8			78	2	2	4
		^<V9			93	2	2	4
		^<V10			135	2	3	5
			+V11		15	1	0	1
			^<V12		57	3	1	4
		^<V13			79	2	2	4
			+V14		12	1	0	1
			^<V15		21	3	1	3
			+V16		9	1	0	1
		^<V17			36	2	1	3
